,elo
Asturias,1531.7152182360617
Kazakhstan,1527.4303260166212
Western Armenia,1527.4171431226112
Thailand,1527.0967739845066
Canary Islands,1526.1821389487966
Biafra,1526.1614766281984
Guadeloupe,1524.643183844143
Surrey,1523.22923222335
Madagascar,1521.2031007292312
Gabon,1520.2441818655082
Donetsk PR,1519.5820248846162
Parishes of Jersey,1517.6878753508734
Felvidék,1515.6793041112376
Togo,1511.4692996199526
Uganda,1510.8490222916755
Montenegro,1510.6242702492666
Silesia,1510.5479346500701
United Koreans in Japan,1510.47167027165
Niger,1510.3634338037102
Mapuche,1510.0710705193856
Elba Island,1507.7699050806334
Guyana,1504.7670760677101
Mozambique,1504.6907590450992
Crimea,1504.3992654831811
Brittany,1504.3784699769794
Shetland,1502.4985627186122
El Salvador,1500.7155058453727
Malaysia,1498.6897577764403
Délvidék,1497.7928881526025
North Korea,1496.6198878440753
Sealand,1496.575277741763
Central Spain,1493.4692166222687
Nicaragua,1492.6934613011265
Comoros,1492.6712873426004
Tahiti,1491.7011850528097
Zimbabwe,1490.1929799940858
Saugeais,1490.084330163123
South Ossetia,1489.6307904964215
Cilento,1487.5563440611368
North Vietnam,1486.3355482410946
Madrid,1485.8839623697763
Luhansk PR,1485.8032741220725
Matabeleland,1483.4183518491113
Kenya,1480.5302181848874
Seborga,1479.8801463495085
Republic of St. Pauli,1477.1061187334253
Sudan,1476.3291114509261
Székely Land,1474.9853730424095
Dominican Republic,1474.7461161411984
Sápmi,1474.3781717895993
Kuwait,1472.1653934411543
Yoruba Nation,1471.8781080518804
Sierra Leone,1469.832628983614
Somaliland,1468.499401689128
Franconia,1468.2643254613015
Indonesia,1467.9790979849556
Vietnam,1467.20067505485
Faroe Islands,1465.7057349894828
South Yemen,1463.7571116832353
Ryūkyū,1462.253306944175
Luxembourg,1461.8822168140534
Provence,1461.7556481643958
Åland Islands,1461.4979219036666
Romani people,1460.929282942046
West Papua,1460.0136170205421
Aymara,1457.1864669136717
Rwanda,1456.6825488779655
East Turkestan,1456.506020694591
Hmong,1452.4694505950802
Kabylia,1451.2979349931582
Malawi,1450.5296425961942
Equatorial Guinea,1450.270756916224
Mayotte,1449.9561527552892
Greenland,1447.8946556703452
Martinique,1444.8202254681478
Mauritania,1442.4194095217815
Lebanon,1440.161754458579
Gozo,1439.8281630797032
Kyrgyzstan,1439.41121235539
Armenia,1433.4319412394532
Saarland,1432.7056662067014
Monaco,1432.356557696587
Papua New Guinea,1431.5718998162977
Cuba,1430.495796287843
Tajikistan,1429.3528649944956
Chechnya,1428.978372429395
Gotland,1428.6877936028886
Western Isles,1425.7120506509746
Estonia,1424.5408624830686
Găgăuzia,1417.0023926223287
Azerbaijan,1415.9491111831958
Liberia,1415.8075170466084
Niue,1415.5903675905233
Lesotho,1413.6874243728817
Namibia,1413.4855429010497
Tanzania,1411.7793059213877
Vanuatu,1406.088640052482
Manchukuo,1405.6471993426549
Marshall Islands,1402.3420012409879
Botswana,1397.4262018411307
Burundi,1395.4814582128647
Ticino,1395.2127979364159
French Guiana,1392.9342032554234
Orkney,1390.1975384430834
Fiji,1390.1957749185035
Turkmenistan,1386.9227628406074
Two Sicilies,1385.0022836366807
Western Australia,1382.9425523864527
Ethiopia,1382.491471334126
Palau,1380.5974871504702
Western Sahara,1379.5144339577762
Vatican City,1376.6617241618762
Raetia,1370.7460274677705
Lithuania,1369.5602976898947
Central African Republic,1369.2745769123258
Saint Barthélemy,1368.4290692394907
Cyprus,1367.2199972592427
Malta,1356.1599231993255
Guinea-Bissau,1353.9570184511813
Latvia,1351.204530930493
Saint Vincent and the Grenadines,1346.3341499187618
Yemen DPR,1345.515243877597
Puerto Rico,1343.8484540585787
Barawa,1339.6412152506239
Moldova,1333.988756080559
Saare County,1333.7924547947903
Chagos Islands,1329.4003513758091
Philippines,1328.6175686789197
Hitra,1328.510329914457
Vietnam Republic,1328.5076390469242
Solomon Islands,1323.3676023173882
Saint Martin,1323.2275947972876
Eswatini,1319.7595838122393
Saint Helena,1318.1027054679669
Hong Kong,1317.450174957996
Congo,1315.3380206939717
Ambazonia,1308.4052645467925
Sark,1305.0621126538306
Sint Maarten,1300.6930220249567
Singapore,1295.5974206911696
Yemen,1295.4394168847232
Micronesia,1294.9467870723583
Belize,1290.5062625491412
Bermuda,1290.007490558352
Grenada,1279.1454048896821
Wallis Islands and Futuna,1275.8663957678918
South Sudan,1268.6649299314695
Saint Pierre and Miquelon,1254.7812721564271
Chad,1248.1829057802177
Tibet,1241.7694792473912
Saint Kitts and Nevis,1235.4241493855534
Samoa,1220.2980151345896
India,1217.9199660872387
Montserrat,1209.554273799462
Aruba,1208.493610709174
Kiribati,1198.8548797267483
Mauritius,1196.0006847208422
Darfur,1193.2494163291324
Falkland Islands,1186.714002637455
Tuvalu,1186.3867270992434
Afghanistan,1182.599236304749
Eritrea,1181.8418524128097
Saint Lucia,1171.5584074616504
São Tomé and Príncipe,1165.9089935558134
Frøya,1160.694204806165
Andorra,1152.235869781744
Dominica,1133.176084143618
Cook Islands,1120.065530541981
Gibraltar,1117.392556890686
Bangladesh,1113.958472152662
Myanmar,1110.615759045222
Bonaire,1101.8056871043298
Nepal,1092.8225444479904
Barbados,1080.0613328640513
Djibouti,1075.6057382752106
Alderney,1062.7874218079671
Antigua and Barbuda,1059.0245922106449
Somalia,1051.3268233864815
Taiwan,1048.192430461713
Tonga,1041.6876835999058
British Virgin Islands,1038.5888674661112
Cambodia,1026.296991759685
Cayman Islands,1015.1553345486818
Maldives,1014.0114380476064
Sri Lanka,1004.6333605307359
Pakistan,998.5077250271755
Seychelles,998.1763454912244
Liechtenstein,977.0245906945232
Guam,965.618548019344
Mongolia,954.5390676404312
United States Virgin Islands,934.9420885324032
Turks and Caicos Islands,934.1804947859702
San Marino,933.3384374086339
Laos,914.3307972923282
Northern Mariana Islands,909.6489977250471
Timor-Leste,888.9783955303973
American Samoa,876.9670026921896
Brunei,869.5908182955878
Anguilla,868.2582671766876
Bahamas,858.5304265081301
Bhutan,831.3863348084575
Macau,792.8037660615925
