,date,rank,country,ct,points,previousPoints,flag,delta
19,2019-11-28T00:00:00,20,Senegal,SEN,1555,1546.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sen,9.0
20,2019-11-28T00:00:00,21,Peru,PER,1544,1548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-4.0
21,2019-11-28T00:00:00,22,USA,USA,1540,1530.0,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,10.0
22,2019-11-28T00:00:00,22,Wales,WAL,1540,1524.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,16.0
23,2019-11-28T00:00:00,24,Ukraine,UKR,1537,1536.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ukr,1.0
24,2019-11-28T00:00:00,25,Venezuela,VEN,1517,1512.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ven,5.0
25,2019-11-28T00:00:00,26,Austria,AUT,1507,1520.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-13.0
26,2019-11-28T00:00:00,27,Tunisia,TUN,1506,1495.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,11.0
27,2019-11-28T00:00:00,28,Japan,JPN,1500,1498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn,2.0
28,2019-11-28T00:00:00,29,Turkey,TUR,1494,1490.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,4.0
29,2019-11-28T00:00:00,29,Serbia,SRB,1494,1485.0,https://api.fifa.com/api/v1/picture/flags-sq-4/srb,9.0
30,2019-11-28T00:00:00,31,Nigeria,NGA,1493,1481.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nga,12.0
31,2019-11-28T00:00:00,32,Slovakia,SVK,1490,1493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svk,-3.0
32,2019-11-28T00:00:00,33,IR Iran,IRN,1489,1505.0,https://api.fifa.com/api/v1/picture/flags-sq-4/irn,-16.0
33,2019-11-28T00:00:00,34,Republic of Ireland,IRL,1486,1480.0,https://api.fifa.com/api/v1/picture/flags-sq-4/irl,6.0
34,2019-11-28T00:00:00,35,Algeria,ALG,1482,1469.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,13.0
35,2019-11-28T00:00:00,36,Northern Ireland,NIR,1476,1483.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nir,-7.0
36,2019-11-28T00:00:00,37,Romania,ROU,1475,1495.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rou,-20.0
37,2019-11-28T00:00:00,38,Russia,RUS,1470,1474.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-4.0
38,2019-11-28T00:00:00,39,Iceland,ISL,1464,1460.0,https://api.fifa.com/api/v1/picture/flags-sq-4/isl,4.0
39,2019-11-28T00:00:00,40,Paraguay,PAR,1461,1458.0,https://api.fifa.com/api/v1/picture/flags-sq-4/par,3.0
40,2019-11-28T00:00:00,41,Korea Republic,KOR,1459,1466.0,https://api.fifa.com/api/v1/picture/flags-sq-4/kor,-7.0
41,2019-11-28T00:00:00,42,Australia,AUS,1457,1450.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aus,7.0
42,2019-11-28T00:00:00,43,Morocco,MAR,1456,1457.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mar,-1.0
43,2019-11-28T00:00:00,44,Norway,NOR,1451,1441.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,10.0
44,2019-11-28T00:00:00,45,Czech Republic,CZE,1446,1454.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cze,-8.0
45,2019-11-28T00:00:00,46,Costa Rica,CRC,1442,1436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,6.0
46,2019-11-28T00:00:00,47,Ghana,GHA,1439,1426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,13.0
47,2019-11-28T00:00:00,48,Jamaica,JAM,1437,1441.0,https://api.fifa.com/api/v1/picture/flags-sq-4/jam,-4.0
48,2019-11-28T00:00:00,49,Bosnia and Herzegovina,BIH,1430,1435.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bih,-5.0
49,2019-11-28T00:00:00,50,Scotland,SCO,1422,1406.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sco,16.0
50,2019-11-28T00:00:00,51,Egypt,EGY,1420,1433.0,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,-13.0
51,2019-11-28T00:00:00,52,Hungary,HUN,1416,1429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/hun,-13.0
52,2019-11-28T00:00:00,53,Cameroon,CMR,1413,1409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,4.0
53,2019-11-28T00:00:00,54,Greece,GRE,1409,1388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,21.0
54,2019-11-28T00:00:00,55,Qatar,QAT,1398,1391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/qat,7.0
55,2019-11-28T00:00:00,56,Mali,MLI,1389,1386.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mli,3.0
56,2019-11-28T00:00:00,56,Congo DR,COD,1389,1399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-10.0
57,2019-11-28T00:00:00,58,Finland,FIN,1386,1395.0,https://api.fifa.com/api/v1/picture/flags-sq-4/fin,-9.0
58,2019-11-28T00:00:00,59,Bulgaria,BUL,1381,1371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bul,10.0
59,2019-11-28T00:00:00,59,Burkina Faso,BFA,1381,1378.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bfa,3.0
60,2019-11-28T00:00:00,61,Côte d'Ivoire,CIV,1380,1392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-12.0
61,2019-11-28T00:00:00,62,Honduras,HON,1377,1368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,9.0
62,2019-11-28T00:00:00,63,Ecuador,ECU,1368,1368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,0.0
63,2019-11-28T00:00:00,64,Montenegro,MNE,1365,1371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-6.0
64,2019-11-28T00:00:00,64,Slovenia,SVN,1365,1367.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-2.0
65,2019-11-28T00:00:00,66,Albania,ALB,1356,1367.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-11.0
66,2019-11-28T00:00:00,67,Saudi Arabia,KSA,1351,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,12.0
67,2019-11-28T00:00:00,68,North Macedonia,MKD,1347,1344.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mkd,3.0
68,2019-11-28T00:00:00,69,El Salvador,SLV,1346,1336.0,https://api.fifa.com/api/v1/picture/flags-sq-4/slv,10.0
69,2019-11-28T00:00:00,70,Iraq,IRQ,1340,1327.0,https://api.fifa.com/api/v1/picture/flags-sq-4/irq,13.0
70,2019-11-28T00:00:00,71,United Arab Emirates,UAE,1338,1353.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uae,-15.0
71,2019-11-28T00:00:00,72,South Africa,RSA,1334,1337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rsa,-3.0
72,2019-11-28T00:00:00,73,Canada,CAN,1331,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,-8.0
73,2019-11-28T00:00:00,74,Guinea,GUI,1328,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gui,11.0
74,2019-11-28T00:00:00,75,China PR,CHN,1325,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-14.0
75,2019-11-28T00:00:00,76,Bolivia,BOL,1324,1324.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bol,0.0
76,2019-11-28T00:00:00,77,Uganda,UGA,1321,1311.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,10.0
77,2019-11-28T00:00:00,78,Cabo Verde,CPV,1318,1319.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cpv,-1.0
78,2019-11-28T00:00:00,79,Syria,SYR,1314,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,22.0
79,2019-11-28T00:00:00,80,Curaçao,CUW,1313,1323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cuw,-10.0
80,2019-11-28T00:00:00,81,Panama,PAN,1304,1310.0,https://api.fifa.com/api/v1/picture/flags-sq-4/pan,-6.0
81,2019-11-28T00:00:00,81,Oman,OMA,1304,1289.0,https://api.fifa.com/api/v1/picture/flags-sq-4/oma,15.0
82,2019-11-28T00:00:00,83,Gabon,GAB,1297,1285.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,12.0
83,2019-11-28T00:00:00,84,Benin,BEN,1295,1293.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ben,2.0
84,2019-11-28T00:00:00,85,Uzbekistan,UZB,1289,1287.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uzb,2.0
85,2019-11-28T00:00:00,86,Haiti,HAI,1285,1281.0,https://api.fifa.com/api/v1/picture/flags-sq-4/hai,4.0
86,2019-11-28T00:00:00,87,Belarus,BLR,1280,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-6.0
87,2019-11-28T00:00:00,88,Zambia,ZAM,1277,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-22.0
88,2019-11-28T00:00:00,89,Congo,CGO,1269,1265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cgo,4.0
89,2019-11-28T00:00:00,89,Lebanon,LBN,1269,1266.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lbn,3.0
90,2019-11-28T00:00:00,91,Madagascar,MAD,1267,1249.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,18.0
91,2019-11-28T00:00:00,91,Georgia,GEO,1267,1274.0,https://api.fifa.com/api/v1/picture/flags-sq-4/geo,-7.0
92,2019-11-28T00:00:00,93,Israel,ISR,1260,1278.0,https://api.fifa.com/api/v1/picture/flags-sq-4/isr,-18.0
93,2019-11-28T00:00:00,94,Vietnam,VIE,1258,1245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,13.0
94,2019-11-28T00:00:00,95,Cyprus,CYP,1251,1263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cyp,-12.0
95,2019-11-28T00:00:00,96,Kyrgyz Republic,KGZ,1240,1252.0,https://api.fifa.com/api/v1/picture/flags-sq-4/kgz,-12.0
96,2019-11-28T00:00:00,97,Jordan,JOR,1238,1236.0,https://api.fifa.com/api/v1/picture/flags-sq-4/jor,2.0
97,2019-11-28T00:00:00,98,Luxembourg,LUX,1236,1248.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lux,-12.0
98,2019-11-28T00:00:00,99,Mauritania,MTN,1223,1205.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mtn,18.0
99,2019-11-28T00:00:00,100,Bahrain,BHR,1219,1220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bhr,-1.0
100,2019-11-28T00:00:00,101,Libya,LBY,1215,1211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lby,4.0
101,2019-11-28T00:00:00,102,Armenia,ARM,1213,1226.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arm,-13.0
102,2019-11-28T00:00:00,103,Estonia,EST,1202,1209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/est,-7.0
103,2019-11-28T00:00:00,104,Trinidad and Tobago,TRI,1201,1213.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-12.0
104,2019-11-28T00:00:00,105,Mozambique,MOZ,1200,1186.0,https://api.fifa.com/api/v1/picture/flags-sq-4/moz,14.0
105,2019-11-28T00:00:00,106,Palestine,PLE,1199,1226.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ple,-27.0
106,2019-11-28T00:00:00,106,Kenya,KEN,1199,1195.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ken,4.0
107,2019-11-28T00:00:00,108,India,IND,1187,1201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-14.0
108,2019-11-28T00:00:00,109,Central African Republic,CTA,1184,1186.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cta,-2.0
109,2019-11-28T00:00:00,110,Faroe Islands,FRO,1181,1192.0,https://api.fifa.com/api/v1/picture/flags-sq-4/fro,-11.0
110,2019-11-28T00:00:00,111,Zimbabwe,ZIM,1180,1167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zim,13.0
111,2019-11-28T00:00:00,112,Niger,NIG,1179,1198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nig,-19.0
112,2019-11-28T00:00:00,113,Thailand,THA,1178,1193.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tha,-15.0
113,2019-11-28T00:00:00,114,Azerbaijan,AZE,1177,1189.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aze,-12.0
114,2019-11-28T00:00:00,115,Kosovo,KVX,1174,1184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/kvx,-10.0
115,2019-11-28T00:00:00,116,Korea DPR,PRK,1170,1182.0,https://api.fifa.com/api/v1/picture/flags-sq-4/prk,-12.0
116,2019-11-28T00:00:00,117,Namibia,NAM,1160,1163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nam,-3.0
117,2019-11-28T00:00:00,118,Kazakhstan,KAZ,1155,1157.0,https://api.fifa.com/api/v1/picture/flags-sq-4/kaz,-2.0
118,2019-11-28T00:00:00,118,Sierra Leone,SLE,1155,1167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sle,-12.0
119,2019-11-28T00:00:00,118,Guinea-Bissau,GNB,1155,1155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gnb,0.0
120,2019-11-28T00:00:00,121,Tajikistan,TJK,1152,1168.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tjk,-16.0
121,2019-11-28T00:00:00,122,New Zealand,NZL,1149,1157.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nzl,-8.0
122,2019-11-28T00:00:00,123,Malawi,MWI,1141,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mwi,1.0
123,2019-11-28T00:00:00,124,Angola,ANG,1136,1161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ang,-25.0
124,2019-11-28T00:00:00,124,Philippines,PHI,1136,1134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/phi,2.0
125,2019-11-28T00:00:00,126,Antigua and Barbuda,ATG,1127,1129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/atg,-2.0
126,2019-11-28T00:00:00,126,Togo,TOG,1127,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-13.0
127,2019-11-28T00:00:00,128,Sudan,SDN,1112,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,1.0
128,2019-11-28T00:00:00,129,Turkmenistan,TKM,1107,1084.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tkm,23.0
129,2019-11-28T00:00:00,130,Guatemala,GUA,1106,1094.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gua,12.0
130,2019-11-28T00:00:00,131,Rwanda,RWA,1089,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rwa,-17.0
131,2019-11-28T00:00:00,131,Lithuania,LTU,1089,1086.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,3.0
132,2019-11-28T00:00:00,133,Comoros,COM,1088,1067.0,https://api.fifa.com/api/v1/picture/flags-sq-4/com,21.0
133,2019-11-28T00:00:00,134,Tanzania,TAN,1086,1084.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tan,2.0
134,2019-11-28T00:00:00,135,Andorra,AND,1082,1080.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,2.0
135,2019-11-28T00:00:00,136,Myanmar,MYA,1081,1055.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,26.0
136,2019-11-28T00:00:00,137,Latvia,LVA,1079,1063.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,16.0
137,2019-11-28T00:00:00,138,Chinese Taipei,TPE,1078,1102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-24.0
138,2019-11-28T00:00:00,139,Hong Kong,HKG,1075,1061.0,https://api.fifa.com/api/v1/picture/flags-sq-4/hkg,14.0
139,2019-11-28T00:00:00,140,Lesotho,LES,1074,1076.0,https://api.fifa.com/api/v1/picture/flags-sq-4/les,-2.0
140,2019-11-28T00:00:00,140,St. Kitts and Nevis,SKN,1074,1076.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-2.0
141,2019-11-28T00:00:00,142,Solomon Islands,SOL,1073,1073.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sol,0.0
142,2019-11-28T00:00:00,142,Suriname,SUR,1073,1052.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sur,21.0
143,2019-11-28T00:00:00,144,Yemen,YEM,1072,1070.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yem,2.0
144,2019-11-28T00:00:00,145,Equatorial Guinea,EQG,1066,1083.0,https://api.fifa.com/api/v1/picture/flags-sq-4/eqg,-17.0
145,2019-11-28T00:00:00,146,Ethiopia,ETH,1061,1049.0,https://api.fifa.com/api/v1/picture/flags-sq-4/eth,12.0
146,2019-11-28T00:00:00,147,Kuwait,KUW,1059,1034.0,https://api.fifa.com/api/v1/picture/flags-sq-4/kuw,25.0
147,2019-11-28T00:00:00,148,Botswana,BOT,1055,1057.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bot,-2.0
148,2019-11-28T00:00:00,149,Afghanistan,AFG,1052,1054.0,https://api.fifa.com/api/v1/picture/flags-sq-4/afg,-2.0
149,2019-11-28T00:00:00,150,Nicaragua,NCA,1050,1077.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-27.0
150,2019-11-28T00:00:00,151,Burundi,BDI,1049,1063.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-14.0
151,2019-11-28T00:00:00,152,Liberia,LBR,1047,1047.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lbr,0.0
152,2019-11-28T00:00:00,153,Eswatini,SWZ,1042,1055.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-13.0
153,2019-11-28T00:00:00,154,Malaysia,MAS,1040,1009.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mas,31.0
154,2019-11-28T00:00:00,155,Maldives,MDV,1038,1039.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mdv,-1.0
155,2019-11-28T00:00:00,156,New Caledonia,NCL,1035,1035.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ncl,0.0
156,2019-11-28T00:00:00,157,Singapore,SIN,1020,1008.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,12.0
157,2019-11-28T00:00:00,158,Dominican Republic,DOM,1019,1040.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-21.0
158,2019-11-28T00:00:00,159,Gambia,GAM,1015,990.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gam,25.0
159,2019-11-28T00:00:00,159,Grenada,GRN,1015,1001.0,https://api.fifa.com/api/v1/picture/flags-sq-4/grn,14.0
160,2019-11-28T00:00:00,161,Tahiti,TAH,1014,1014.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tah,0.0
161,2019-11-28T00:00:00,162,Barbados,BRB,1011,1001.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,10.0
162,2019-11-28T00:00:00,163,Fiji,FIJ,996,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/fij,0.0
163,2019-11-28T00:00:00,163,Vanuatu,VAN,996,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/van,0.0
164,2019-11-28T00:00:00,165,Papua New Guinea,PNG,991,991.0,https://api.fifa.com/api/v1/picture/flags-sq-4/png,0.0
165,2019-11-28T00:00:00,166,Guyana,GUY,988,969.0,https://api.fifa.com/api/v1/picture/flags-sq-4/guy,19.0
166,2019-11-28T00:00:00,167,St. Vincent and the Grenadines,VIN,986,986.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
167,2019-11-28T00:00:00,168,Bermuda,BER,984,986.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ber,-2.0
168,2019-11-28T00:00:00,169,South Sudan,SSD,983,997.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ssd,-14.0
169,2019-11-28T00:00:00,170,Nepal,NEP,974,988.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nep,-14.0
170,2019-11-28T00:00:00,170,Belize,BLZ,974,986.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blz,-12.0
171,2019-11-28T00:00:00,172,Mauritius,MRI,968,970.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mri,-2.0
172,2019-11-28T00:00:00,173,Indonesia,IDN,964,975.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-11.0
173,2019-11-28T00:00:00,173,Cambodia,CAM,964,974.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-10.0
174,2019-11-28T00:00:00,175,Moldova,MDA,959,963.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mda,-4.0
175,2019-11-28T00:00:00,176,St. Lucia,LCA,953,953.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lca,0.0
176,2019-11-28T00:00:00,177,Chad,CHA,943,955.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cha,-12.0
177,2019-11-28T00:00:00,178,Puerto Rico,PUR,941,940.0,https://api.fifa.com/api/v1/picture/flags-sq-4/pur,1.0
178,2019-11-28T00:00:00,179,Cuba,CUB,936,938.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-2.0
179,2019-11-28T00:00:00,180,Liechtenstein,LIE,926,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lie,-7.0
180,2019-11-28T00:00:00,181,São Tomé and Príncipe,STP,923,934.0,https://api.fifa.com/api/v1/picture/flags-sq-4/stp,-11.0
181,2019-11-28T00:00:00,182,Macau,MAC,922,922.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mac,0.0
182,2019-11-28T00:00:00,183,Montserrat,MSR,921,911.0,https://api.fifa.com/api/v1/picture/flags-sq-4/msr,10.0
183,2019-11-28T00:00:00,184,Malta,MLT,919,924.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mlt,-5.0
184,2019-11-28T00:00:00,184,Djibouti,DJI,919,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dji,3.0
185,2019-11-28T00:00:00,184,Dominica,DMA,919,913.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dma,6.0
186,2019-11-28T00:00:00,187,Bangladesh,BAN,915,920.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ban,-5.0
187,2019-11-28T00:00:00,188,Laos,LAO,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
188,2019-11-28T00:00:00,189,Bhutan,BHU,911,911.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bhu,0.0
189,2019-11-28T00:00:00,190,Mongolia,MNG,906,915.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mng,-9.0
190,2019-11-28T00:00:00,191,Brunei Darussalam,BRU,904,904.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bru,0.0
191,2019-11-28T00:00:00,192,American Samoa,ASA,900,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/asa,0.0
192,2019-11-28T00:00:00,193,Cayman Islands,CAY,897,895.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cay,2.0
193,2019-11-28T00:00:00,194,Samoa,SAM,894,894.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sam,0.0
194,2019-11-28T00:00:00,195,Bahamas,BAH,880,867.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bah,13.0
195,2019-11-28T00:00:00,196,Somalia,SOM,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/som,0.0
196,2019-11-28T00:00:00,196,Gibraltar,GIB,879,882.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-3.0
197,2019-11-28T00:00:00,196,Timor-Leste,TLS,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
198,2019-11-28T00:00:00,199,Guam,GUM,873,882.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gum,-9.0
199,2019-11-28T00:00:00,200,Seychelles,SEY,868,868.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sey,0.0
200,2019-11-28T00:00:00,201,Aruba,ARU,867,885.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-18.0
201,2019-11-28T00:00:00,201,Pakistan,PAK,867,867.0,https://api.fifa.com/api/v1/picture/flags-sq-4/pak,0.0
202,2019-11-28T00:00:00,203,Tonga,TGA,862,862.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tga,0.0
203,2019-11-28T00:00:00,203,Turks and Caicos Islands,TCA,862,862.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tca,0.0
204,2019-11-28T00:00:00,205,Sri Lanka,SRI,856,864.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sri,-8.0
